Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
63,74,6,7,58,68,0,Train/14/00014_00010_00007.png
64,74,6,6,59,68,0,Train/14/00014_00010_00008.png
64,76,5,6,59,70,0,Train/14/00014_00010_00009.png
68,79,6,7,62,72,0,Train/14/00014_00010_00010.png
71,81,7,8,65,74,0,Train/14/00014_00010_00011.png
71,80,6,7,64,73,0,Train/14/00014_00010_00012.png
72,83,6,8,65,75,0,Train/14/00014_00010_00013.png
73,84,7,8,67,77,0,Train/14/00014_00010_00014.png
76,85,7,7,70,78,0,Train/14/00014_00010_00015.png
79,88,7,8,72,81,0,Train/14/00014_00010_00016.png
82,92,8,9,75,84,0,Train/14/00014_00010_00017.png
84,93,8,8,77,85,0,Train/14/00014_00010_00018.png
87,96,8,8,79,88,0,Train/14/00014_00010_00019.png
92,101,9,9,84,93,0,Train/14/00014_00010_00020.png
95,107,8,10,87,98,0,Train/14/00014_00010_00021.png
100,111,9,10,92,102,0,Train/14/00014_00010_00022.png
106,118,9,11,96,108,0,Train/14/00014_00010_00023.png
112,125,9,11,103,115,0,Train/14/00014_00010_00024.png
122,133,11,12,112,122,0,Train/14/00014_00010_00025.png
131,142,11,12,120,130,0,Train/14/00014_00010_00026.png
144,156,12,14,132,143,0,Train/14/00014_00010_00027.png
160,171,14,15,147,157,0,Train/14/00014_00010_00028.png
178,184,16,16,162,169,0,Train/14/00014_00010_00029.png
43,43,6,6,38,38,0,Train/14/00014_00011_00000.png
43,42,6,5,38,37,0,Train/14/00014_00011_00001.png
43,42,6,5,38,37,0,Train/14/00014_00011_00002.png
42,42,5,5,37,37,0,Train/14/00014_00011_00003.png
43,42,6,5,38,37,0,Train/14/00014_00011_00004.png
42,44,5,6,37,39,0,Train/14/00014_00011_00005.png
44,44,6,5,38,39,0,Train/14/00014_00011_00006.png
44,46,5,6,39,41,0,Train/14/00014_00011_00007.png
44,44,5,5,39,39,0,Train/14/00014_00011_00008.png
46,46,6,6,41,41,0,Train/14/00014_00011_00009.png
47,46,6,5,42,41,0,Train/14/00014_00011_00010.png
46,46,5,5,41,41,0,Train/14/00014_00011_00011.png
49,47,6,5,43,42,0,Train/14/00014_00011_00012.png
49,49,5,5,44,44,0,Train/14/00014_00011_00013.png
49,50,5,6,44,45,0,Train/14/00014_00011_00014.png
51,51,5,5,46,46,0,Train/14/00014_00011_00015.png
52,52,5,5,47,47,0,Train/14/00014_00011_00016.png
54,55,5,6,49,50,0,Train/14/00014_00011_00017.png
58,56,6,5,52,51,0,Train/14/00014_00011_00018.png
58,58,5,5,53,53,0,Train/14/00014_00011_00019.png
62,62,5,5,57,57,0,Train/14/00014_00011_00020.png
65,66,6,6,60,60,0,Train/14/00014_00011_00021.png
70,70,6,6,64,64,0,Train/14/00014_00011_00022.png
75,75,7,7,69,69,0,Train/14/00014_00011_00023.png
81,82,7,8,74,74,0,Train/14/00014_00011_00024.png
87,86,7,7,80,79,0,Train/14/00014_00011_00025.png
98,97,8,9,90,89,0,Train/14/00014_00011_00026.png
108,103,9,9,99,94,0,Train/14/00014_00011_00027.png
120,116,11,11,110,106,0,Train/14/00014_00011_00028.png
141,134,12,12,129,123,0,Train/14/00014_00011_00029.png
43,43,5,5,38,38,0,Train/14/00014_00012_00000.png
43,44,5,6,38,39,0,Train/14/00014_00012_00001.png
43,44,5,6,38,39,0,Train/14/00014_00012_00002.png
43,43,5,5,38,38,0,Train/14/00014_00012_00003.png
44,44,6,6,39,39,0,Train/14/00014_00012_00004.png
44,43,5,5,38,38,0,Train/14/00014_00012_00005.png
45,44,6,5,40,39,0,Train/14/00014_00012_00006.png
44,45,5,6,39,40,0,Train/14/00014_00012_00007.png
44,45,5,6,39,40,0,Train/14/00014_00012_00008.png
45,45,5,5,40,40,0,Train/14/00014_00012_00009.png
45,45,5,5,40,40,0,Train/14/00014_00012_00010.png
45,45,5,5,40,40,0,Train/14/00014_00012_00011.png
47,46,6,5,41,40,0,Train/14/00014_00012_00012.png
46,46,5,5,41,41,0,Train/14/00014_00012_00013.png
47,47,5,5,42,42,0,Train/14/00014_00012_00014.png
47,48,5,6,42,43,0,Train/14/00014_00012_00015.png
49,49,6,6,44,44,0,Train/14/00014_00012_00016.png
49,49,6,6,44,44,0,Train/14/00014_00012_00017.png
50,49,6,5,45,44,0,Train/14/00014_00012_00018.png
52,52,6,6,47,47,0,Train/14/00014_00012_00019.png
51,52,5,6,46,47,0,Train/14/00014_00012_00020.png
54,54,6,6,48,48,0,Train/14/00014_00012_00021.png
55,54,6,5,49,48,0,Train/14/00014_00012_00022.png
54,55,5,6,49,50,0,Train/14/00014_00012_00023.png
56,55,6,5,51,50,0,Train/14/00014_00012_00024.png
56,57,5,6,51,52,0,Train/14/00014_00012_00025.png
58,57,5,5,52,52,0,Train/14/00014_00012_00026.png
59,60,5,6,54,55,0,Train/14/00014_00012_00027.png
63,62,6,6,58,57,0,Train/14/00014_00012_00028.png
65,63,6,5,60,58,0,Train/14/00014_00012_00029.png
39,40,6,6,34,35,0,Train/14/00014_00013_00000.png
38,38,6,6,33,33,0,Train/14/00014_00013_00001.png
36,39,5,5,31,34,0,Train/14/00014_00013_00002.png
39,39,6,5,34,34,0,Train/14/00014_00013_00003.png
41,41,6,5,36,36,0,Train/14/00014_00013_00004.png
43,43,6,5,38,38,0,Train/14/00014_00013_00005.png
45,46,6,6,40,41,0,Train/14/00014_00013_00006.png
48,50,5,6,43,45,0,Train/14/00014_00013_00007.png
51,52,6,6,46,47,0,Train/14/00014_00013_00008.png
53,53,6,5,48,48,0,Train/14/00014_00013_00009.png
57,57,6,5,52,52,0,Train/14/00014_00013_00010.png
63,63,6,5,58,58,0,Train/14/00014_00013_00011.png
68,68,6,7,62,62,0,Train/14/00014_00013_00012.png
70,72,6,7,64,66,0,Train/14/00014_00013_00013.png
74,75,6,6,68,69,0,Train/14/00014_00013_00014.png
80,80,7,8,73,73,0,Train/14/00014_00013_00015.png
86,87,7,7,79,80,0,Train/14/00014_00013_00016.png
88,87,7,7,81,80,0,Train/14/00014_00013_00017.png
93,91,9,8,85,83,0,Train/14/00014_00013_00018.png
94,95,8,8,86,87,0,Train/14/00014_00013_00019.png
94,94,8,9,86,86,0,Train/14/00014_00013_00020.png
97,96,9,9,89,88,0,Train/14/00014_00013_00021.png
99,99,9,8,91,91,0,Train/14/00014_00013_00022.png
107,104,10,10,98,95,0,Train/14/00014_00013_00023.png
112,111,9,9,103,102,0,Train/14/00014_00013_00024.png
121,122,11,11,111,112,0,Train/14/00014_00013_00025.png
136,140,11,13,125,128,0,Train/14/00014_00013_00026.png
157,157,14,13,144,144,0,Train/14/00014_00013_00027.png
177,177,16,15,162,162,0,Train/14/00014_00013_00028.png
216,211,18,18,198,193,0,Train/14/00014_00013_00029.png
38,46,5,5,33,41,0,Train/14/00014_00014_00000.png
39,47,6,5,34,42,0,Train/14/00014_00014_00001.png
39,49,5,5,34,43,0,Train/14/00014_00014_00002.png
41,52,6,6,36,46,0,Train/14/00014_00014_00003.png
41,52,6,6,36,47,0,Train/14/00014_00014_00004.png
42,54,5,6,37,49,0,Train/14/00014_00014_00005.png
44,56,5,6,38,50,0,Train/14/00014_00014_00006.png
47,57,6,5,42,52,0,Train/14/00014_00014_00007.png
50,59,6,6,44,54,0,Train/14/00014_00014_00008.png
52,60,6,6,47,55,0,Train/14/00014_00014_00009.png
55,62,6,5,49,57,0,Train/14/00014_00014_00010.png
56,66,6,6,51,60,0,Train/14/00014_00014_00011.png
59,70,6,7,54,64,0,Train/14/00014_00014_00012.png
63,72,6,6,57,66,0,Train/14/00014_00014_00013.png
65,75,6,6,60,69,0,Train/14/00014_00014_00014.png
69,81,6,8,63,74,0,Train/14/00014_00014_00015.png
70,84,6,8,64,77,0,Train/14/00014_00014_00016.png
73,86,7,7,67,79,0,Train/14/00014_00014_00017.png
81,91,8,8,73,83,0,Train/14/00014_00014_00018.png
84,95,7,8,77,87,0,Train/14/00014_00014_00019.png
92,99,9,9,84,91,0,Train/14/00014_00014_00020.png
97,107,8,9,89,98,0,Train/14/00014_00014_00021.png
101,109,9,9,93,100,0,Train/14/00014_00014_00022.png
109,119,10,11,100,109,0,Train/14/00014_00014_00023.png
117,127,10,11,106,116,0,Train/14/00014_00014_00024.png
122,133,11,12,112,122,0,Train/14/00014_00014_00025.png
130,142,11,13,118,130,0,Train/14/00014_00014_00026.png
137,149,12,12,126,136,0,Train/14/00014_00014_00027.png
147,160,13,14,135,146,0,Train/14/00014_00014_00028.png
166,180,14,15,152,165,0,Train/14/00014_00014_00029.png
31,31,5,5,26,26,0,Train/14/00014_00015_00000.png
33,32,6,5,28,27,0,Train/14/00014_00015_00001.png
34,33,6,5,29,28,0,Train/14/00014_00015_00002.png
35,34,6,5,30,29,0,Train/14/00014_00015_00003.png
35,35,5,5,30,30,0,Train/14/00014_00015_00004.png
37,37,6,6,32,32,0,Train/14/00014_00015_00005.png
37,36,6,5,32,31,0,Train/14/00014_00015_00006.png
38,38,6,6,33,33,0,Train/14/00014_00015_00007.png
40,40,6,6,35,35,0,Train/14/00014_00015_00008.png
40,40,6,6,35,35,0,Train/14/00014_00015_00009.png
42,41,6,5,37,36,0,Train/14/00014_00015_00010.png
43,44,5,6,38,39,0,Train/14/00014_00015_00011.png
46,46,6,6,41,41,0,Train/14/00014_00015_00012.png
